question,retrieved_source,retrieval_relevant,answer,grounded,best_distance,n_citations,citations_traceable,model_refused
What deep learning architectures are used for medical image segmentation?,paper_004.pdf p.6; paper_001.pdf p.11; paper_001.pdf p.11; paper_002.pdf p.10; paper_001.pdf p.4,,"Medical image segmentation is most commonly performed with deep‑learning models based on convolutional neural networks (CNNs), including fully convolutional networks (FCN) and the U‑Net architecture, which combines symmetric up‑ and down‑sampling paths with skip connections [Document: paper_001.pdf, Page: 11; Document: paper_004.pdf, Page: 6].  Generative adversarial networks (GANs) have also been applied to segmentation tasks [Document: paper_004.pdf, Page: 6].  Recurrent neural networks (RNNs) are used increasingly alongside CNNs for segmentation pipelines [Document: paper_001.pdf, Page: 11; Document: paper_002.pdf, Page: 10].  Earlier works have explored other deep models such as deep belief networks and stacked auto‑encoders, though these are less common for segmentation compared with end‑to‑end CNN approaches [Document: paper_001.pdf, Page: 4].",,0.5692,2,True,False
How are convolutional neural networks applied to medical image classification?,paper_002.pdf p.2; paper_004.pdf p.5; paper_004.pdf p.7; paper_001.pdf p.4; paper_018.pdf p.3,,"Convolutional neural networks (CNNs) are fed raw pixel‑level medical images, which are processed by successive convolutional layers that apply learned filters to capture spatial relationships and patterns such as tissue boundaries or lesions [Document: paper_002.pdf, Page: 2].  The resulting feature maps are typically down‑sampled by pooling layers to reduce dimensionality, after which one or more fully‑connected layers map the extracted features to class scores for image‑level classification [Document: paper_002.pdf, Page: 2; Document: paper_004.pdf, Page: 7].  CNNs are trained end‑to‑end in a supervised fashion, obviating the need for handcrafted feature engineering and making image classification more scalable [Document: paper_004.pdf, Page: 5; Document: paper_018.pdf, Page: 3].  In addition to direct classification, the convolutional blocks can be used as feature extractors for downstream models [Document: paper_004.pdf, Page: 5].",,0.5497,2,True,False
What machine learning methods are used for disease diagnosis and risk prediction?,paper_019.pdf p.5; paper_018.pdf p.13; paper_014.pdf p.27; paper_014.pdf p.7; paper_014.pdf p.5,,"Disease diagnosis and risk prediction in healthcare commonly employ machine learning (ML) and deep‑learning (DL) techniques within clinical decision‑support systems [Document: paper_019.pdf, Page: 5]. Reported model architectures for tumor classification include feed‑forward neural networks, generative adversarial networks, transformer neural networks, variational autoencoders, and ensemble methods such as random forests [Document: paper_014.pdf, Page: 27]. Perturbation‑based explanation tools such as LIME and SHAP have been applied to interpret the predictions of classifiers for conditions ranging from gastrointestinal bleeding to pulmonary disease and Parkinson’s disease [Document: paper_018.pdf, Page: 13]. Additionally, ML‑driven integration of multi‑omics data has been used in cardiovascular and neurodegenerative diseases to uncover risk factors and support precision‑medicine approaches [Document: paper_014.pdf, Page: 7].",,0.9067,4,True,False
What explainable AI techniques are used to interpret clinical prediction models?,paper_020.pdf p.1; paper_019.pdf p.7; paper_019.pdf p.6; paper_019.pdf p.52; paper_018.pdf p.7,,"Explainable AI techniques that are commonly applied to clinical prediction models include feature‑attribution methods such as SHAP, Grad‑CAM, and LIME, which have been identified as the most frequently used approaches in the literature [Document: paper_019.pdf, Page: 7]. In addition to these post‑hoc attribution methods, explanations that map high‑level clinical concepts to model decisions and causal‑inference approaches that aim to uncover causal relationships rather than mere correlations are also employed to align model reasoning with clinical reasoning processes [Document: paper_019.pdf, Page: 7]. These techniques span both local (instance‑specific) and global (model‑wide) interpretability perspectives, supporting clinicians in assessing the relevance and trustworthiness of predictions.",,0.4833,1,True,False
How is machine learning applied to genomic and bioinformatics data?,paper_014.pdf p.9; paper_014.pdf p.51; paper_014.pdf p.10; paper_014.pdf p.5; paper_014.pdf p.9,,"Machine learning is used to extract patterns from genomic and bio‑informatic datasets through several learning paradigms.  Supervised models are trained on labeled DNA sequences to predict disease association, learning discriminative features that can be applied to new sequences [Document: paper_014.pdf, Page: 9].  Unsupervised algorithms cluster tumor samples by gene‑expression profiles or group genes with similar expression, revealing molecular subtypes and underlying biological processes [Document: paper_014.pdf, Page: 9] and [Document: paper_014.pdf, Page: 5].  Self‑supervised approaches generate their own training signals, such as predicting missing genomic sequence segments, enabling representation learning from large unlabeled corpora [Document: paper_014.pdf, Page: 9].  Reinforcement learning can explore protein‑folding configurations, receiving rewards for more stable conformations, mirroring iterative biological optimization [Document: paper_014.pdf, Page: 10].  Collectively, these methods have facilitated the identification of genomic biomarkers and advanced personalized medicine by interpreting vast, complex genomic data [Document: paper_014.pdf, Page: 5].",,0.842,3,True,False
What approaches are used to integrate multi-omics data?,paper_014.pdf p.7; paper_014.pdf p.37; paper_014.pdf p.19; paper_014.pdf p.56; paper_014.pdf p.11,,"Integration of multi‑omics data generally proceeds in two stages. First, heterogeneous data types (e.g., transcriptomics, epigenomics, proteomics) are aligned through preprocessing techniques such as feature‑harmonization and scaling to ensure that combined signals reflect true biological relationships while minimizing noise and bias [Document: paper_014.pdf, Page: 11]. Second, machine‑learning methods are applied to fuse these aligned layers; examples include using ML to jointly analyze genetic, epigenetic, transcriptomic, and environmental information for risk‑factor discovery and therapeutic target identification, as well as employing ML‑driven survival‑analysis frameworks to relate multi‑omic profiles to patient outcomes [Document: paper_014.pdf, Page: 7] and [Document: paper_014.pdf, Page: 37].",,1.0144,3,True,False
How is transfer learning used when labelled medical data is scarce?,paper_004.pdf p.21; paper_002.pdf p.7; paper_002.pdf p.4; paper_002.pdf p.7; paper_002.pdf p.22,,"When labelled medical data are limited, researchers first train a deep network on a large, often unrelated, image set (e.g., natural‑image collections) and then transfer the learned parameters to the medical task. The weights learned by a CNN on the source data are copied—typically all layers except the final fully‑connected layer—and the network is either (i) used as a fixed feature extractor or (ii) fine‑tuned on the small medical dataset [Document: paper_002.pdf, Page: 7]. This “moderately related or unrelated dataset” approach supplies a rich set of features that mitigate the scarcity of annotated medical images, allowing the model to be further trained with the limited labelled medical samples [Document: paper_002.pdf, Page: 4].",,0.5783,2,True,False
What evaluation metrics are reported for medical diagnosis models?,paper_019.pdf p.15; paper_019.pdf p.28; paper_019.pdf p.28; paper_018.pdf p.17; paper_019.pdf p.29,,"The studies report both conventional predictive performance metrics (e.g., AUC, accuracy, precision, recall) and a range of XAI‑specific evaluation measures.  An interpretable metric called **Activation Precision** was introduced to quantify the proportion of medically relevant information used by the model when classifying mass margins [Document: paper_018.pdf, Page: 17].  XAI evaluation practices across the corpus include **fidelity** (how closely explanations match the model’s decision logic) [Document: paper_019.pdf, Page: 29]; **consistency** (stability of explanations under similar input perturbations) [Document: paper_019.pdf, Page: 29]; **human‑trust or agreement scores** obtained from clinician surveys [Document: paper_019.pdf, Page: 29]; **localization accuracy** (e.g., IoU overlap of Grad‑CAM heatmaps with annotated regions) [Document: paper_019.pdf, Page: 29]; and **qualitative case studies** assessed by clinical experts [Document: paper_019.pdf, Page: 29].",,0.7755,2,True,False
What are the main challenges of deploying AI systems in clinical practice?,paper_019.pdf p.39; paper_021.pdf p.23; paper_021.pdf p.6; paper_019.pdf p.4; paper_019.pdf p.31,,"The literature identifies several key obstacles to moving AI tools into routine clinical use.  Primary barriers include poor interoperability with existing electronic health‑record systems, the absence of clear regulatory pathways for explainable models, limited training of clinicians in AI concepts, and doubts about the reliability of the generated explanations [Document: paper_019.pdf, Page: 31].  Additional challenges involve designing clinician‑centric explanation interfaces, conducting early usability testing, and ensuring that deployments are longitudinally evaluated with feedback loops and co‑design from interdisciplinary teams [Document: paper_019.pdf, Page: 31].",,0.7396,1,True,False
How do the reviewed papers address dataset bias and generalisation across hospitals?,paper_019.pdf p.33; paper_021.pdf p.36; paper_019.pdf p.43; paper_019.pdf p.43; paper_019.pdf p.62,,"The majority of the surveyed studies (62 %) employed real‑world hospital or registry datasets, but only a small minority performed reproducibility checks across different datasets, indicating that systematic evaluation of dataset bias and cross‑hospital generalisation was limited [Document: paper_019.pdf, Page: 33]. Moreover, the review notes that model‑alignment strategies were largely absent and that the evidence base was heavily weighted toward imaging and structured electronic health‑record data, with other modalities (e.g., audio, genomics, sensor data) under‑represented, which further constrains the ability to generalise findings to diverse hospital settings [Document: paper_019.pdf, Page: 43]. The authors also highlight broader methodological issues such as language bias, inconsistent reporting, and a lack of stakeholder diversity, all of which can exacerbate dataset bias and reduce the reliability of conclusions across institutions [Document: paper_019.pdf, Page: 43].",,0.7051,2,True,False
